Step	Time	Epot	Ekin	Etot	T
199	0.000199	0.000910	945.810550	945.811460	1.047337
200	0.000200	0.000920	945.812763	945.813682	1.047340
201	0.000201	0.000929	945.814980	945.815909	1.047342
202	0.000202	0.000939	945.817201	945.818139	1.047345
203	0.000203	0.000948	945.819426	945.820374	1.047347
204	0.000204	0.000958	945.821655	945.822613	1.047350
205	0.000205	0.000968	945.823889	945.824856	1.047352
206	0.000206	0.000978	945.826126	945.827104	1.047355
207	0.000207	0.000988	945.828368	945.829356	1.047357
208	0.000208	0.000997	945.830614	945.831612	1.047360
209	0.000209	0.001007	945.832864	945.833872	1.047362
210	0.000210	0.001017	945.835119	945.836136	1.047365
211	0.000211	0.001028	945.837378	945.838405	1.047367
212	0.000212	0.001038	945.839640	945.840678	1.047370
213	0.000213	0.001048	945.841907	945.842955	1.047372
214	0.000214	0.001058	945.844178	945.845237	1.047375
215	0.000215	0.001068	945.846454	945.847522	1.047377
216	0.000216	0.001079	945.848733	945.849812	1.047380
217	0.000217	0.001089	945.851017	945.852106	1.047382
218	0.000218	0.001100	945.853305	945.854405	1.047385
219	0.000219	0.001110	945.855597	945.856707	1.047387
220	0.000220	0.001121	945.857893	945.859014	1.047390
221	0.000221	0.001131	945.860194	945.861325	1.047392
222	0.000222	0.001142	945.862498	945.863640	1.047395
223	0.000223	0.001153	945.864807	945.865960	1.047398
224	0.000224	0.001164	945.867120	945.868284	1.047400
225	0.000225	0.001175	945.869437	945.870612	1.047403
226	0.000226	0.001185	945.871759	945.872944	1.047405
227	0.000227	0.001196	945.874084	945.875281	1.047408
228	0.000228	0.001207	945.876414	945.877621	1.047410
229	0.000229	0.001219	945.878748	945.879966	1.047413
230	0.000230	0.001230	945.881086	945.882315	1.047416
231	0.000231	0.001241	945.883428	945.884669	1.047418
232	0.000232	0.001252	945.885774	945.887027	1.047421
233	0.000233	0.001263	945.888125	945.889388	1.047423
234	0.000234	0.001275	945.890480	945.891755	1.047426
235	0.000235	0.001286	945.892839	945.894125	1.047429
236	0.000236	0.001298	945.895202	945.896500	1.047431
237	0.000237	0.001309	945.897569	945.898878	1.047434
238	0.000238	0.001321	945.899941	945.901262	1.047436
239	0.000239	0.001333	945.902316	945.903649	1.047439
240	0.000240	0.001344	945.904696	945.906040	1.047442
241	0.000241	0.001356	945.907080	945.908436	1.047444
