Step	Time	Epot	Ekin	Etot	T
186	1.860000	-5.481261	6048.249466	6042.768205	1.000214
187	1.870000	-4.859982	6047.577650	6042.717668	1.000084
188	1.880000	-4.362397	6047.071202	6042.708805	0.999986
189	1.890000	-3.839552	6046.554111	6042.714559	0.999913
190	1.900000	-2.803848	6045.580188	6042.776340	0.999812
191	1.910000	-0.858403	6043.921142	6043.062740	0.999591
192	1.920000	1.058333	6042.597621	6043.655954	0.999277
193	1.930000	0.697319	6043.491442	6044.188761	0.999177
194	1.940000	-2.302078	6046.566054	6044.263976	0.999569
195	1.950000	-5.352735	6049.405708	6044.052973	1.000169
196	1.960000	-6.538689	6050.287652	6043.748962	1.000515
197	1.970000	-5.687140	6049.191418	6043.504278	1.000481
198	1.980000	-3.511466	6047.005044	6043.493578	1.000161
199	1.990000	-1.394352	6045.124322	6043.729971	0.999758
200	2.000000	-0.696084	6044.725549	6044.029465	0.999531
201	2.010000	-1.677714	6045.896938	6044.219225	0.999608
202	2.020000	-3.549321	6047.765237	6044.215916	0.999903
203	2.030000	-5.250100	6049.310671	6044.060571	1.000223
204	2.040000	-6.253707	6050.074522	6043.820815	1.000423
205	2.050000	-6.609995	6050.160719	6043.550724	1.000486
206	2.060000	-6.563606	6049.857223	6043.293617	1.000456
207	2.070000	-6.333887	6049.408142	6043.074255	1.000382
208	2.080000	-6.070643	6048.970039	6042.899396	1.000300
209	2.090000	-5.861393	6048.624590	6042.763197	1.000230
210	2.100000	-5.742080	6048.396511	6042.654431	1.000179
211	2.110000	-5.709398	6048.271386	6042.561988	1.000149
212	2.120000	-5.734519	6048.212450	6042.477930	1.000134
213	2.130000	-5.781100	6048.178404	6042.397304	1.000128
214	2.140000	-5.807146	6048.127303	6042.320157	1.000122
215	2.150000	-5.767277	6048.016886	6042.249609	1.000110
216	2.160000	-5.612247	6047.805999	6042.193752	1.000084
217	2.170000	-5.290998	6047.458336	6042.167338	1.000038
218	2.180000	-4.784055	6046.974644	6042.190589	0.999966
219	2.190000	-4.174410	6046.455194	6042.280784	0.999874
220	2.200000	-3.702815	6046.129875	6042.427060	0.999791
221	2.210000	-3.664621	6046.239189	6042.574569	0.999765
222	2.220000	-4.137701	6046.801698	6042.663997	0.999826
223	2.230000	-4.899308	6047.573525	6042.674217	0.999952
224	2.240000	-5.660247	6048.274002	6042.613755	1.000087
225	2.250000	-6.269743	6048.768824	6042.499082	1.000193
226	2.260000	-6.712804	6049.059711	6042.346907	1.000259
227	2.270000	-7.028800	6049.201226	6042.172426	1.000295
228	2.280000	-7.258998	6049.246244	6041.987245	1.000310
229	2.290000	-7.427627	6049.227113	6041.799486	1.000311
230	2.300000	-7.539309	6049.154369	6041.615060	1.000303
231	2.310000	-7.584129	6049.024999	6041.440870	1.000286
232	2.320000	-7.554573	6048.839258	6041.284685	1.000259
233	2.330000	-7.465526	6048.619214	6041.153688	1.000223
234	2.340000	-7.377351	6048.427241	6041.049890	1.000184
235	2.350000	-7.395173	6048.356571	6040.961398	1.000157
236	2.360000	-7.611228	6048.475576	6040.864348	1.000160
237	2.370000	-8.023373	6048.760281	6040.736908	1.000197
238	2.380000	-8.518448	6049.087906	6040.569458	1.000256
239	2.390000	-8.932244	6049.304109	6040.371866	1.000310
